iso3,country,year,inflation_pct
ARG,Argentina,2019,53.5
ARG,Argentina,2020,42.0
ARG,Argentina,2021,48.4
ARG,Argentina,2022,72.4
ARG,Argentina,2023,133.5
ARG,Argentina,2024,219.9
TUR,Turkey,2019,15.2
TUR,Turkey,2020,12.3
TUR,Turkey,2021,19.6
TUR,Turkey,2022,72.3
TUR,Turkey,2023,53.9
TUR,Turkey,2024,58.5
IRN,Iran,2019,34.8
IRN,Iran,2020,36.5
IRN,Iran,2021,40.2
IRN,Iran,2022,45.8
IRN,Iran,2023,40.7
IRN,Iran,2024,32.5
EGY,Egypt,2019,13.9
EGY,Egypt,2020,5.7
EGY,Egypt,2021,4.5
EGY,Egypt,2022,8.5
EGY,Egypt,2023,24.4
EGY,Egypt,2024,33.3
VEN,Venezuela,2019,19906.0
VEN,Venezuela,2020,2355.1
VEN,Venezuela,2021,1588.5
VEN,Venezuela,2022,186.5
VEN,Venezuela,2023,337.5
VEN,Venezuela,2024,49.0
NGA,Nigeria,2019,11.4
NGA,Nigeria,2020,13.2
NGA,Nigeria,2021,17.0
NGA,Nigeria,2022,18.8
NGA,Nigeria,2023,24.7
NGA,Nigeria,2024,31.4
USA,United States,2019,1.8
USA,United States,2020,1.3
USA,United States,2021,4.7
USA,United States,2022,8.0
USA,United States,2023,4.1
USA,United States,2024,3.0
IND,India,2019,4.8
IND,India,2020,6.2
IND,India,2021,5.5
IND,India,2022,6.7
IND,India,2023,5.4
IND,India,2024,4.6
