iso3,year,fx_lcu_per_usd,gdp_per_capita_usd,country,fx_depreciation_pct
ARG,2019,48.1478916666667,9955.97478680428,Argentina,
ARG,2020,70.5391666666667,8535.59938004389,Argentina,46.50520349887246
ARG,2021,94.9907416666667,10738.0179223384,Argentina,34.663827424480466
ARG,2022,130.61655,13962.1894087223,Argentina,37.5045059215858
ARG,2023,296.258041666667,14261.8465667948,Argentina,126.81508711313154
ARG,2024,914.694883333333,13969.7836603737,Argentina,208.7493855652015
EGY,2019,16.7705818428763,2962.98892023003,Egypt,
EGY,2020,15.7591729166667,3511.11381026379,Egypt,-6.030851736007126
EGY,2021,15.6445272777113,3827.35415374308,Egypt,-0.7274851260382631
EGY,2022,19.1604397412204,4233.30783744856,Egypt,22.473753288271038
EGY,2023,30.6264136980311,3456.78968456253,Egypt,59.84191444282787
EGY,2024,45.29926,3338.47371395895,Egypt,47.90912330330135
IND,2019,70.4203405359551,2041.42863698585,India,
IND,2020,74.0995668836052,1907.04251637669,India,5.224664237134102
IND,2021,73.9180128154351,2239.61384367482,India,-0.24501366985758555
IND,2022,78.6044905829916,2347.44829434623,India,6.340102485246857
IND,2023,82.5992764460784,2530.12031278204,India,5.082134409190098
IND,2024,83.669281580941,2694.73780859961,India,1.2954170797865316
IRN,2019,42000.0,3997.4935449585,Iran,
IRN,2020,42000.0,3202.50003502169,Iran,0.0
IRN,2021,42000.0,4605.14881318992,Iran,0.0
IRN,2022,42000.0,4721.20437099984,Iran,0.0
IRN,2023,42000.0,5049.29931642754,Iran,0.0
IRN,2024,,5190.16959024821,Iran,
NGA,2019,306.920951495222,3189.81286498516,Nigeria,
NGA,2020,358.810797258297,2797.18458068686,Nigeria,16.906583115386553
NGA,2021,401.152029220779,2787.48779224428,Nigeria,11.8004341803577
NGA,2022,425.979158066857,2899.16047470324,Nigeria,6.188957561626607
NGA,2023,645.194067883201,2138.76383719983,Nigeria,51.461416753619304
NGA,2024,1478.96519740023,1084.16041805436,Nigeria,129.22795962035502
TUR,2019,5.67381930843574,9395.23378001368,Turkey,
TUR,2020,7.00860541558522,8798.11791709313,Turkey,23.52535452027775
TUR,2021,8.85040754928315,9981.76398411336,Turkey,26.279152905402057
TUR,2022,16.5488604173067,10897.8397861365,Turkey,86.98416231292192
TUR,2023,23.7385661219918,13375.0947282864,Turkey,43.44532205472076
TUR,2024,32.8058614432703,15892.7157287241,Turkey,38.1964743560413
USA,2019,1.0,64746.4506778863,United States,
USA,2020,1.0,63515.9491807833,United States,0.0
USA,2021,1.0,70205.050916026,United States,0.0
USA,2022,1.0,76657.2488844403,United States,0.0
USA,2023,1.0,81032.262117545,United States,0.0
USA,2024,1.0,84534.0407841548,United States,0.0
VEN,2019,,2523.11275230667,Venezuela,
VEN,2020,,1506.0436210041,Venezuela,
VEN,2021,,2004.93397949792,Venezuela,
VEN,2022,,3155.04207099687,Venezuela,
VEN,2023,,3617.43594578269,Venezuela,
VEN,2024,,4217.59102643391,Venezuela,
